Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/2/0/0,,CRC,,,150000000000,4121425080,108197341353,114549058329,15744970067,80633036300,124686014131,39284667996,212596452926
2021/2/0/0,,CRE,,,959999080000,128372410460,1369402380447,1644247999667,108503403828,250000000000,1808767245596,1291156246172,1976346052265
2021/2/0/0,,CSM,,,1036264670000,22842196873,1244267374991,1392995619055,351907716900,,1121659101095,1355604151713,2831009804950
2021/2/0/0,,CSV,,,442000000000,58218926039,297623372360,401787074951,129402009755,115000000000,219337566203,255113593915,228340540953
2021/2/0/0,,CTD,,,792550000000,44888799217,2415698730227,2550411691809,652103578595,3015470750000,6962967075851,1419915875304,5225313830348
2021/2/0/0,,CTF,,,683000000000,873510573,1272679257376,1356309253043,27862276939,,774917570991,475259234149,1003560634342
2021/2/0/0,,CTI,,,629999970000,17592820505,117539580701,202661303295,190618353054,,281701764665,222018689182,549879121127
2021/2/0/0,,CVT,,,366908870000,31176571428,269859250940,318204391501,50502852631,147000000000,72579608087,439995154057,547455720451
2021/2/0/0,,D2D,,,303047580000,61459617356,29850610954,109144064259,151692382654,732000000000,89526366248,170684761039,292385798522
2021/2/0/0,,DAH,,,342000000000,6955779711,107696835669,127064213595,1055268415,20000000000,97642215970,38145530104,80475762225
2021/2/0/0,,DAT,,,460054130000,16286997556,672453756178,706674812924,339191264824,209072473872,415176102566,84589410761,770982861622
2021/2/0/0,,DBC,,,1152394300000,214893955153,2126048145118,2596412873716,156179847989,525354335625,406460677422,4129533283008,4716241677917
2021/2/0/0,,DBD,,,576124440000,55977894198,164645197984,310845304243,87326031644,79541393300,450990897227,266657967145,282196605343
2021/2/0/0,,DBT,,,142051160000,4422159189,115425273356,156433303881,30714567142,21000000000,173748077410,371600735315,565956891948
2021/2/0/0,,DC4,,,319997580000,20257089353,223529265106,265875670446,44803359314,488109,311920653027,256471042215,331902042070
2021/2/0/0,,DCL,,,568328240000,32680612113,131656517924,188744170727,31761026856,788717184931,235625685645,286009083249,812108059079
2021/2/0/0,,DCM,,,5294000000000,278785090417,1846687742672,2363563291105,1159558420808,2932000000000,227228981769,886077063018,2739502343832
2021/2/0/0,,DGC,,,1710805560000,333128232639,1543593253080,2038543324066,52027251455,1903908150945,908616467821,935994941311,1741076394248
2021/2/0/0,,DGW,,,443517470000,116572166880,3912418968345,4217540634983,1024843356321,,1187501705492,975014019616,2026026009872
2021/2/0/0,,DHA,,,151199460000,24845799317,64392007666,95840922475,43195740404,185026903657,79914899258,139950000,37411364346
2021/2/0/0,,DHC,,,559957830000,128195548082,904919225975,1080112508410,185992693530,9022773266,685209479726,382386847182,884469613158
2021/2/0/0,,DHG,,,1307460710000,200464709692,484609873390,947836084449,67330218153,2181000000000,362737456761,989031530188,1053273582743
2021/2/0/0,,DHM,,,313961800000,388251983,341540550277,344054716957,2132785434,40000000000,120365709695,191266085267,417833814710
2021/2/0/0,,DIG,,,4098909620000,53260858504,400425420749,615780936334,362633845292,81988482192,2568056084874,4596747271032,6355792472176
2021/2/0/0,,DLG,,,2993097200000,10919405792,420151779790,480436121578,136629584198,,2415661149906,330485550721,2989540936927
2021/2/0/0,,DMC,,,347274650000,42408902429,259393178471,363320531233,70270745741,225000000000,759654640977,293180744459,292675193603
2021/2/0/0,,DPG,,,449998100000,104478609554,351768803833,527460904783,753534233367,25205442500,620172499693,616795825406,1938029944234
2021/2/0/0,,DPM,,,3914000000000,693528387403,1990446796274,2930745559625,2627446104955,2555000000000,335683291061,1498198311726,2152828012328
2021/2/0/0,,DPR,,,430000000000,34772166181,162219859599,218046211062,293040600774,623899765813,75518200805,217391261306,292591159606
2021/2/0/0,,DQC,,,343594160000,2724477787,112813326872,170386361907,78081824506,49569061875,406700269795,331090046420,395015351829
2021/2/0/0,,DRC,,,1187926050000,106231108158,978104855055,1204595990276,29789506250,220000000000,235099091812,1064526017027,963968383961
2021/2/0/0,,DRH,,,609999330000,-1852825916,2997146798,4030061188,22784182040,4440038771,820566895818,860617200415,1586896185424
2021/2/0/0,,DRL,,,95000000000,12135211631,6231465759,20130342318,6037369096,74000000000,8679325926,1106118780,7155884635
2021/2/0/0,,DSN,,,120830090000,3306738736,8341531033,14097951818,20107027872,146083535460,2708360980,941967707,19005852909
2021/2/0/0,,DTA,,,180598320000,2980650429,15725754867,20824219480,83997604556,2000000000,50884196575,5792534996,282978604198
2021/2/0/0,,DTT,,,81518200000,964587750,30142957071,34365143717,26722441133,72000,17353459227,44974046725,45439432011
2021/2/0/0,,DVP,,,400000000000,81277137605,61245448210,166336805751,17559596829,978000000000,87645853749,10369951546,212388736909
2021/2/0/0,,DXG,,,5200346670000,478698650191,1606160135235,3563155868466,4564859114221,1133229106000,9201689400191,9639546768367,11465900955024
2021/2/0/0,,DXV,,,99000000000,-151741402,63572911354,67129857754,4063049646,15500000000,65387520585,32993600570,22064573183
2021/2/0/0,,ELC,,,509282430000,8503605424,84108350787,112315455663,195398543483,28936781529,667354940978,167276207519,481355520252
2021/2/0/0,,EMC,,,152973330000,673912199,111312161876,119671262145,14154454854,,185994498807,219562590704,358435158576
2021/2/0/0,,EVE,,,419797730000,4232664332,152395360202,226202292106,47103658996,536392679147,213938596648,350862077781,248284448674
2021/2/0/0,,EVG,,,1050000000000,7631223379,304790666819,312716750074,58972544860,,1078636419338,190307629870,300867814407
2021/2/0/0,,FCM,,,410000000000,5517560766,159530132918,173644886690,49396110422,9597100000,457771447716,193068640264,354461285654
2021/2/0/0,,FCN,,,,35022791789,626296974722,760530461600,324927301893,36778544346,3194803165980,1773243175088,4378469413299
2021/2/0/0,,FIR,,,270398640000,3338162404,9780028517,29555039781,2627428348,,284680507028,110989120330,188240912688
2021/2/0/0,,FIT,,,2547302470000,149224574263,218642243890,298051279587,53253531603,2219804005220,706972516391,364670854332,1257747471709
2021/2/0/0,,FLC,,,7099978070000,22016701828,1310903609732,1261717243520,132401212051,205605702764,12588850173160,2027564798164,13759764339140
2021/2/0/0,,FMC,,,588500000000,81905812161,1058588746653,1160779408623,604208808077,9516255000,351117032193,971823610624,1032458549797
2021/2/0/0,,FPT,,,9075516490000,1259666449892,5181318450067,8641707284821,4978881337221,15532505379957,6675995128182,1849606883871,24989658347910
2021/2/0/0,,FRT,,,789817920000,30235021845,3754373404973,4359296122541,609174092371,1873642389041,2153640057046,2468860831459,6428397385622
2021/2/0/0,,FTM,,,500000000000,-46534546725,39110481089,44221667586,15398199954,220000000,798226816231,83401296974,1126761918663
2021/2/0/0,,GAB,,,138000000000,611202161,89557853631,93059472400,2370379871,,114594110161,10255928484,75930687362
2021/2/0/0,,GAS,,,19139500000000,2301384256887,18919436564738,22701645313733,5947560639666,25650532773344,15328324085809,1990374242842,20039328990025
2021/2/0/0,,GDT,,,171369680000,19232448206,81398157853,114512497874,8935214048,199100013903,32296358722,82710067448,121826902696
2021/2/0/0,,GEG,,,2711751880000,73392829722,127686725481,320033799019,168382007821,,910617586784,867558242082,1741950380234
2021/2/0/0,,GEX,,,4882440000000,520933782731,7318228302460,8696409726155,3096861341058,2690168774968,8277368590288,10446941289836,23080993594682
2021/2/0/0,,GIL,,,360000000000,115001619876,1010959921032,1258132845764,548274736783,516918572727,805527413034,518121882356,1677252320109
2021/2/0/0,,GMC,,,300052800000,13236478285,239696791222,289329513757,501235337433,,154486987188,248197799297,443650368983
2021/2/0/0,,GMD,,,3013779570000,178277524592,432617742924,751669076983,499015540372,59450918735,1016367586887,65655233120,1903201376739
2021/2/0/0,,GSP,,,360000000000,15289348985,395132544930,425078969548,100379198339,105000000000,180294442036,18537320495,322817148285
2021/2/0/0,,GTA,,,104000000000,5844067712,152044291476,165547353988,11507674916,384100000000,52925527857,64446947208,395624700663
2021/2/0/0,,GTN,,,2500000000000,46994557729,563721200170,790591924702,231730674015,2369695066000,228450244488,245611623554,274443780258
2021/2/0/0,,GVR,,,40000000000000,1159991338784,4058900485253,5687573760495,6575432726424,8789061667746,2756259290819,3174725018224,8842140233870
2021/2/0/0,,HAG,,,9274679470000,87041258000,353965402000,534856482000,155524644000,,4383184636000,316371621000,4802056202000
2021/2/0/0,,HAH,,,487827510000,97682399974,307987468765,449266808575,223444340820,61341741096,361538880846,68666229159,475507267418
2021/2/0/0,,HAI,,,1826827990000,4409989942,101865404989,112796400013,11244784087,276453768950,1952813559467,343151683826,789183011936
2021/2/0/0,,HAP,,,556266210000,7569154271,103147313875,121803337276,11270872366,51050123200,299527659560,79275074722,85635182768
2021/2/0/0,,HAR,,,1013501000000,60758453,3811650426,12010223286,16724141820,,78315134082,,56418623562
2021/2/0/0,,HAS,,,80000000000,1253136196,84200927836,90949457639,7677504901,12254161695,185284155796,13558043689,103003460798
2021/2/0/0,,HAX,,,477669820000,5941312139,1206947423885,1250300879915,87899838985,,144016257060,656579675839,667534898174
2021/2/0/0,,HBC,,,2308753980000,58429335722,2984420934503,3179484100956,376732925851,8625077046,11000736694018,2764759224573,11299343935981
2021/2/0/0,,HCD,,,270000000000,15782620077,162357835452,183033082465,19687859340,6000000000,206642486828,155983118581,139207377152
2021/2/0/0,,HDC,,,831438740000,64717753246,233878028273,342837722625,55110203571,59544098284,566842183487,1371968611998,1275444432460
2021/2/0/0,,HDG,,,1542750180000,100626817363,176143087009,477798959548,410332865051,488278000588,1392055244588,1198466952200,4219009242195
2021/2/0/0,,HHP,,,200698240000,9846868445,170570725965,188549607145,7151293000,7200000000,177554677491,58548460907,244851548733
2021/2/0/0,,HHS,,,2747440630000,53290516917,131878431446,150316200442,63099227659,312070000000,52885123200,162719871258,159535373487
2021/2/0/0,,HII,,,320275000000,33990078362,2026905966291,2179386173083,199438033422,9656000000,755023853208,175039022105,996606923069
2021/2/0/0,,HMC,,,210000000000,56039562554,1074160583947,1158251555166,27018515692,9500000000,305545204799,637877169348,637473260097
2021/2/0/0,,HOT,,,80000000000,-5796169690,10066951850,6603159678,5924850524,7000000000,4800645077,1724952215,15982276728
2021/2/0/0,,HPG,,,44729227060000,9745151422187,23641296035968,35118355099565,14644183731657,17182805095788,7946101345417,39803824314074,66589935552973
2021/2/0/0,,HPX,,,2644945820000,72400535549,342962371465,494251576995,87159056777,264150468435,2908021180011,3832830782304,3366382697179
2021/2/0/0,,HQC,,,4766000000000,1024335820,79805956979,103044224586,29016843985,,3031903822766,526625248196,2751029479612
2021/2/0/0,,HRC,,,302066220000,273048517,11111725510,17152019171,231841377530,,12517974328,15263308985,338439776025
2021/2/0/0,,HSG,,,4446252130000,1034914232924,8955708918438,10845989020993,714861175002,8501781836,2988496402055,9001669052206,12084004707670
2021/2/0/0,,HSL,,,171671440000,1005490149,62245872841,64057285740,9374399488,,96372822712,32184549041,18840083653
2021/2/0/0,,HT1,,,3815899110000,240693365287,1820495906292,2259831048770,603173096136,13883294730,445319238212,722065645140,3653996365179
2021/2/0/0,,HTI,,,249492000000,14559988018,57139200609,109031378495,17906234660,,13821213895,14117898593,24557426288
2021/2/0/0,,HTL,,,120000000000,6018296967,237828830073,256724004552,20466615634,11487060000,71298713412,230481743955,212259946460
2021/2/0/0,,HTN,,,495092010000,82594010333,1550927600753,1695703528317,172300177530,98104260274,4276569886815,1285617386275,5097091495606
2021/2/0/0,,HTV,,,131040000000,4340852360,71710097845,81451431383,33291464430,167311485470,134575065091,2094318839,94373511374
2021/2/0/0,,HU1,,,100000000000,-3162981800,122413739120,129535726920,30762354389,5330000000,462950134549,300325990701,691850980735
2021/2/0/0,,HU3,,,99999440000,281660722,20918386053,24607607939,9590944381,,154702776321,97969958527,153486428801
2021/2/0/0,,HUB,,,190573160000,25122560167,111020976939,147326761625,91808983004,98825000000,88734011066,143351739416,230030935420
2021/2/0/0,,HVH,,,369499950000,7200689242,61700117251,81649300061,49007547815,,203007268648,67038248527,139389915470
2021/2/0/0,,HVX,,,415252500000,1188134070,210416344640,220271354160,4190035536,,40440302739,65742201207,288506599860
2021/2/0/0,,ICT,,,321850000000,12519102758,262096468270,293997082677,183076358652,20000000000,920619244528,409154793379,1040283531049
2021/2/0/0,,IDI,,,2276446080000,26964227280,1685695391403,1829857815730,571003035215,1028554973872,2402947531974,1363133017875,4074679453068
2021/2/0/0,,IJC,,,2170973230000,176982818927,285660566750,562345799012,729754957430,5905000000,749080973418,3359607655339,2025154784680
2021/2/0/0,,ILB,,,245022450000,21887769004,87023974957,132228538580,166904250757,11500000000,111421369015,,318597710177
2021/2/0/0,,IMP,,,667053700000,49324501290,180722250608,317424198686,192194835779,104996933342,365914109324,454201247683,437637392909
2021/2/0/0,,ITA,,,9384636070000,38755003609,78302083952,143859046427,64804534972,,2029919514067,4009050882630,1873160799547
2021/2/0/0,,KDC,,,2797413560000,215975986563,2065154970299,2576141725028,1778569846735,635400738552,2780352495073,1377924885136,3961902795893
2021/2/0/0,,KDH,,,6429370690000,265074178000,685703473000,1111993639000,1848868294000,,3732600915000,7341338003000,3729011335000
2021/2/0/0,,KHP,,,575710160000,-105183894558,1305482850505,1245990399298,138923255536,399265000000,89521725372,143708171960,889216396547
2021/2/0/0,,KMR,,,568814430000,7956190904,147143440718,172371094235,15244453477,,207106519907,585182089141,509861765180
2021/2/0/0,,KOS,,,1650313350000,5132576501,373016219318,393057685034,46567386409,6986490163,1061768259151,1179514399708,605522912712
2021/2/0/0,,KPF,,,579689330000,41749800544,14621091019,42617956444,29260603240,,960602222362,344866899651,873758561141
2021/2/0/0,,KSB,,,669684780000,76234354121,165029536824,320914963407,78096445735,,1943981369618,24997349096,1013662176221
2021/2/0/0,,L10,,,98900000000,3949641381,225889266892,235463829278,335819370849,,380207182513,249014719036,732447004587
2021/2/0/0,,LAF,,,147280190000,5969229651,54030257167,67498185187,6798936001,13009101472,26222740809,228079373244,184099470556
2021/2/0/0,,LBM,,,100000000000,31603981100,176081415836,239166006871,60201526781,,87765189029,54961577473,100512869367
2021/2/0/0,,LCG,,,1172485100000,73051302904,666845726265,836388965789,221070491100,45350000000,3291933120232,590457528376,3653097344868
2021/2/0/0,,LCM,,,246330000000,-359188596,3163423073,2437540800,514061950,,26579631009,16932819881,22107886100
2021/2/0/0,,LDG,,,2402124510000,715390558,44509889595,90327147670,26885621203,,3138531658294,1099199459166,2639674437231
2021/2/0/0,,LEC,,,261000000000,49646576,115744294330,126178427461,1198692254,,498363520670,260919294148,609094947020
2021/2/0/0,,LGC,,,1928547650000,86278588875,125717229050,335206221327,156843362500,28269048841,890494114390,25978956183,1375188589156
2021/2/0/0,,LGL,,,515000000000,4220100375,46902338522,47330210241,4322679054,5321026400,693061568396,379178897638,834918182209
2021/2/0/0,,LHG,,,500120100000,217588246012,254847749702,555552908748,169667011033,961981859664,304797796317,603673814531,909408062241
2021/2/0/0,,LIX,,,324000000000,40010811556,517298566256,656576409012,27593017590,,198184165664,306359459788,406504812169
2021/2/0/0,,LM8,,,93886820000,3874685749,352092587660,377169752242,14100510268,136896369552,463071305259,670485212650,1195286724885
2021/2/0/0,,MCP,,,150713370000,6335782272,82909735218,98293489420,5852484027,38200000000,75676676255,105117052052,95697361057
2021/2/0/0,,MDG,,,108890310000,3907864059,57764304854,69992236070,6855813346,,220056654854,30375049974,187977941831
2021/2/0/0,,MHC,,,414069640000,21837112136,4521712795,7064058336,129392801808,124070325769,695616788796,,102119923024
2021/2/0/0,,MSH,,,500094000000,124134465010,967891299666,1207038873923,137496509249,650612500319,693424851137,868883997786,1477201397108
2021/2/0/0,,MSN,,,11805347000000,1053462000000,16372047000000,21219294000000,11544161000000,437650000000,7534983000000,13007276000000,38124851000000
2021/2/0/0,,MWG,,,4754311970000,1213678402418,24514835467434,31658418853105,4617786523255,13524445343145,2977700013310,22414714164477,34751040209633
2021/2/0/0,,NAF,,,475678520000,28459769759,403363439085,489271124638,61350144858,200000000,792401181667,118577170993,666833487332
2021/2/0/0,,NAV,,,80000000000,3191083290,8884720255,12444696446,474262363,100000000000,18766064318,6505458479,59179142366
2021/2/0/0,,NBB,,,1004756560000,176805057662,247138883110,390563631594,74987593405,,1169558867766,2383238540777,2185436613561
2021/2/0/0,,NCT,,,261669400000,55244979608,88542799578,173977139473,217964412961,40000000000,64319268249,3979373426,67823633992
2021/2/0/0,,NHA,,,281165500000,526353004,23613676542,26911423638,3901873393,,52186825022,29314665084,51744506999
2021/2/0/0,,NHH,,,364400000000,8578619374,448036818377,531653968453,151929917463,71250000000,363426102734,265602921449,902545371868
2021/2/0/0,,NKG,,,1819998680000,847505342669,5703792215904,7009856429076,821582185051,438574774966,3134909116419,5958397597918,9225891335417
2021/2/0/0,,NLG,,,2852706600000,48139359575,284505393212,400773524013,1221094516994,62076912592,1849815428986,14009260448416,7290783216040
2021/2/0/0,,NNC,,,219200000000,15209430937,39241291323,61144694339,93740489202,129989,16044890009,66118566163,81287192653
2021/2/0/0,,NSC,,,175869880000,64911310741,347041608412,531660194194,138725568054,6300000000,261979809898,719016384177,800363128234
2021/2/0/0,,NT2,,,2878760290000,24551467904,1542789200528,1615686834521,1031927662,420490790416,2170831018721,314047256198,2862244376890
2021/2/0/0,,NTL,,,609899500000,51430039926,39618426130,109483659128,229236948887,,246083707409,1237497546654,658237802438
2021/2/0/0,,NVL,,,14736056190000,1312928547430,1685449745386,2543645943416,12132195071948,834521746983,19088700327649,103241366912067,41943258000762
2021/2/0/0,,NVT,,,905000000000,-12394944410,29057107145,39332458353,69764544214,30644968186,23202301827,12540893525,116915659273
2021/2/0/0,,OGC,,,3000000000000,41873430869,85626384366,118799829406,141548381822,291638129600,943273882369,281749396330,1242953252096
2021/2/0/0,,OPC,,,265772800000,16869063743,117861280633,194441976163,50811771865,23403995881,150137997277,598627910784,489040070341
2021/2/0/0,,PAC,,,464717070000,41258031265,634588241942,753273690820,89539234551,837653000000,329881537339,724916824335,1829035042845
2021/2/0/0,,PAN,,,2163585800000,109845832053,1971251358944,2279700575094,3176968225005,96796696037,1472005468401,2382987940619,4510581586283
2021/2/0/0,,PC1,,,1911881590000,144718661874,2740582364017,2991189086624,937599774413,61155607771,3601308209457,1261034500675,7506261641809
2021/2/0/0,,PDN,,,185219540000,53394866765,170462005427,251973478996,205578887841,70000000000,149946641593,535344182,347411732868
2021/2/0/0,,PDR,,,4867719160000,250981725724,132046254142,537718943994,296823592596,24400348619,2227849379267,12016853848696,5201819767341
2021/2/0/0,,PET,,,866001240000,50109935349,3202893979068,3422580564879,1298556893144,233508490280,1693947907618,1045653362647,3860775758979
2021/2/0/0,,PGC,,,603426380000,49899108333,1127149981506,1285344947299,42261442160,1029750591042,351613574519,124216154795,1258742889999
2021/2/0/0,,PGD,,,899990250000,55491366374,2293506516987,2456944614117,1623641220243,220000000000,958368580209,37934836282,1936826372368
2021/2/0/0,,PHC,,,257482600000,33471533625,136837302242,150350464384,46041759174,52917169525,1143677721018,542340456949,1604135849887
2021/2/0/0,,PHR,,,1354991980000,81337832600,383587973529,451026226800,177048530890,1833889577211,234250650805,374816125712,990159013406
2021/2/0/0,,PIT,,,151993450000,1887900249,218901369415,242162167664,5732747955,4029922558,112508071961,129404730241,258383986407
2021/2/0/0,,PJT,,,153604780000,6655529492,153885962165,173332643555,15778897483,,13414983357,39889655372,160730967480
2021/2/0/0,,PLP,,,400000000000,12790658121,407965592248,454659449814,8928303110,10346280000,523820064228,274333448752,935008297062
2021/2/0/0,,PLX,,,12938780810000,1513706402098,42434569501076,46588742165681,7586207310226,10580430945734,11528227926286,12447982456679,39435314360203
2021/2/0/0,,PME,,,750116250000,78495350752,325487497653,518964299226,85646642074,,816501989680,667908558586,684643646468
2021/2/0/0,,PMG,,,463362780000,-35011839957,299572662928,350232503365,62105655345,98500000000,209350467414,31143992307,669350116292
2021/2/0/0,,PNC,,,110402410000,-6884307345,71818944537,114887222612,28524441831,42640000000,117387697454,280299211022,368057192767
2021/2/0/0,,PNJ,,,2276123620000,223675559100,3620249284244,4455408501572,249812159909,,112039307879,7451065853955,3453495225055
2021/2/0/0,,POM,,,2796763360000,127762837481,3489885774044,3784738527356,484247925358,,2818420912362,3909051432454,7965484743916
2021/2/0/0,,POW,,,23418716000000,889786477577,6812096747249,7956309578713,7230698604918,1215653613956,10029902253169,1929820315724,18016293200208
2021/2/0/0,,PPC,,,3262350000000,120223569422,1294632220596,1218789778197,306713872503,976000000000,1531421885590,490832412231,590814392187
2021/2/0/0,,PSH,,,1261967800000,52444290397,1074210450163,1210870409970,189268157448,,565556167593,5589855027431,5980452469184
2021/2/0/0,,PTB,,,485994410000,125993922319,1277486737117,1616230677960,109651556517,145880534539,976290587811,1760258724968,2870325401159
2021/2/0/0,,PTC,,,179999990000,1658534148,,-599893492,25426203951,119180592282,20968369606,,59597702492
2021/2/0/0,,PTL,,,1000000000000,20474856818,24731711864,42276995416,15399607161,222026430029,554483536616,103845087825,422469274502
2021/2/0/0,,PVD,,,4215457890000,43329359400,1000265970752,1111979414080,736877679120,1656257348040,2241034652520,712831298640,2815438204560
2021/2/0/0,,PVT,,,3236512460000,256519306795,1510124872969,1872872847008,1547718367826,1528298721867,1339103900376,141671633981,2786856795969
2021/2/0/0,,PXI,,,300000000000,-5514867572,11573966682,2842693623,45960958152,,192320868573,143734507814,193087390390
2021/2/0/0,,PXS,,,600000000000,834909619,286814293690,294523895937,178556755911,,171258707904,400467382393,1020468593328
2021/2/0/0,,PXT,,,200000000000,-2921197726,12394156812,13397219443,2285662801,,210757359535,63875145525,265434062468
2021/2/0/0,,QBS,,,693299280000,-1684420415,752813317925,758811884085,12267311564,318900000,682812034572,652087280,503091992487
2021/2/0/0,,QCG,,,2751293100000,8633508293,159218325669,203549425412,62002801255,200000000,478202526257,7131299261565,5301237753863
