Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,-52519836391.0,250798809034.0,288740971335.0,21959646617.0,27085950000.0,675526560002.0,138403228045.0,428736445042.0,312799680000.0,312799680000.0,22.9
1,2020/4/0/0,-179998905303.0,1182458229054.0,1218618684333.0,36412495272.0,22750000000.0,752564199473.0,95574488987.0,431357255257.0,312799680000.0,312799680000.0,39.1
2,2020/3/0/0,13273581214.0,359707661893.0,432341064477.0,52939151050.0,3550000000.0,663904145747.0,66586264757.0,260540116864.0,312799680000.0,312799680000.0,44.8
3,2020/2/0/0,651434593.0,173677836309.0,178452367547.0,64120831275.0,129500000000.0,431938157118.0,66186467656.0,198309874378.0,312799680000.0,312799680000.0,47.6
4,2020/1/0/0,5514251655.0,197278222735.0,257092306202.0,160773479761.0,164500000000.0,366635363734.0,88335722966.0,201622917876.0,312799680000.0,312799680000.0,53.5
5,2019/4/0/0,-140060385088.0,358526212483.0,433011681900.0,440101229193.0,170500000000.0,420340481989.0,116065175803.0,521790188211.0,312799680000.0,312799680000.0,37.8
6,2019/3/0/0,-127901791030.0,275789464582.0,274223656333.0,81728709817.0,569879324657.0,580759733260.0,130094549222.0,537965536471.0,312799680000.0,312799680000.0,52.7
7,2019/2/0/0,-111637484744.0,341910803122.0,355295346974.0,204358371177.0,585953636987.0,645570390705.0,184546376283.0,550502051823.0,312799680000.0,312799680000.0,52.4
8,2019/1/0/0,8072710401.0,338761580752.0,387419497169.0,133451200682.0,798931062799.0,693549416568.0,192300103505.0,553254486959.0,312799680000.0,312799680000.0,109.0
9,2018/4/0/0,48867107246.0,361565885930.0,623409498104.0,191773514674.0,919612503487.0,371974003824.0,135792403756.0,373940358427.0,312799680000.0,312799680000.0,232.5
10,2018/3/0/0,44868059827.0,285501802653.0,378470505449.0,773683537280.0,471400604246.0,438279066987.0,111969829429.0,468349567419.0,312799680000.0,312799680000.0,282.9
11,2018/2/0/0,96756777115.0,439072895122.0,676258667028.0,88215359633.0,77981583486.0,385773305169.0,93006877238.0,572732227529.0,273699680000.0,273699680000.0,191.0
12,2018/1/0/0,,,,,,,,,,,
13,2017/4/0/0,,,,,,,,,,,
14,2017/3/0/0,,,,,,,,,,,
15,2017/2/0/0,,,,,,,,,,,
16,2017/1/0/0,,,,,,,,,,,
17,2016/4/0/0,,,,,,,,,,,
18,2016/3/0/0,,,,,,,,,,,
19,2016/2/0/0,,,,,,,,,,,
20,2016/1/0/0,,,,,,,,,,,
21,2015/4/0/0,,,,,,,,,0.0,,
22,2015/3/0/0,,,,,,,,,0.0,,
23,2015/2/0/0,,,,,,,,,0.0,,
24,2015/1/0/0,,,,,,,,,0.0,,
25,2014/4/0/0,,,,,,,,,0.0,,
26,2014/3/0/0,,,,,,,,,0.0,,
27,2014/2/0/0,,,,,,,,,0.0,,
28,2014/1/0/0,,,,,,,,,0.0,,
29,2013/4/0/0,,,,,,,,,0.0,,
30,2013/3/0/0,,,,,,,,,0.0,,
31,2013/2/0/0,,,,,,,,,0.0,,
32,2013/1/0/0,,,,,,,,,0.0,,
33,2012/4/0/0,,,,,,,,,0.0,,
34,2012/3/0/0,,,,,,,,,0.0,,
35,2012/2/0/0,,,,,,,,,0.0,,
36,2012/1/0/0,,,,,,,,,0.0,,
37,2011/4/0/0,,,,,,,,,0.0,,
38,2011/3/0/0,,,,,,,,,0.0,,
39,2011/2/0/0,,,,,,,,,0.0,,
40,2011/1/0/0,,,,,,,,,0.0,,
41,2010/4/0/0,,,,,,,,,0.0,,
42,2010/3/0/0,,,,,,,,,0.0,,
43,2010/2/0/0,,,,,,,,,0.0,,
44,2010/1/0/0,,,,,,,,,0.0,,
45,2009/4/0/0,,,,,,,,,0.0,,
46,2009/3/0/0,,,,,,,,,0.0,,
47,2009/2/0/0,,,,,,,,,0.0,,
48,2009/1/0/0,,,,,,,,,0.0,,
49,2008/4/0/0,,,,,,,,,0.0,,
50,2008/3/0/0,,,,,,,,,0.0,,
51,2008/2/0/0,,,,,,,,,0.0,,
52,2008/1/0/0,,,,,,,,,0.0,,
