Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,3649946224.0,212666460238.0,219474929784.0,6499337214.0,,825122169740.0,187165024100.0,220111796225.0,1050000000000.0,1050000000000.0,11.55
1,2020/4/0/0,4473400675.0,119824544760.0,130681408348.0,24703623267.0,50000000.0,303585022213.0,203036810664.0,235169171149.0,600000000000.0,600000000000.0,9.01
2,2020/3/0/0,5602883589.0,234901380774.0,247172960643.0,22121172918.0,50000000.0,318598860497.0,205447231181.0,270883599887.0,600000000000.0,600000000000.0,5.27
3,2020/2/0/0,5941080904.0,255971761494.0,267192121680.0,25009287160.0,100000000.0,338371377609.0,193939376586.0,275297893037.0,600000000000.0,600000000000.0,3.52
4,2020/1/0/0,3603304334.0,113738380025.0,123467645138.0,9496482864.0,100000000.0,236089151831.0,182396712440.0,148660528603.0,601948555000.0,601948555000.0,2.43
5,2019/4/0/0,6093529812.0,190222101424.0,204848405526.0,19974734434.0,100000000.0,199827930899.0,177360501974.0,123807807310.0,600000000000.0,600000000000.0,2.47
6,2019/3/0/0,5074278705.0,105472083491.0,114190426146.0,12788038336.0,100000000.0,150361076511.0,160821316888.0,105655604638.0,600000000000.0,600000000000.0,2.67
7,2019/2/0/0,2268578926.0,110725286753.0,117351539581.0,4482611061.0,100000000.0,200687559343.0,155115102498.0,99039928806.0,600000000000.0,600000000000.0,2.73
8,2019/1/0/0,4479028218.0,127940967336.0,137203454611.0,10161927070.0,100000000.0,221179884347.0,153639461423.0,124505443947.0,600000000000.0,600000000000.0,2.8
9,2018/4/0/0,4225074482.0,136271623962.0,143218500980.0,14326911410.0,50000000.0,179913434171.0,148814276820.0,91051362791.0,600000000000.0,600000000000.0,2.66
10,2018/3/0/0,8750061877.0,90076163373.0,104265146871.0,16925709467.0,100000000.0,160696506564.0,139127730938.0,104888396976.0,600000000000.0,600000000000.0,3.35
11,2018/2/0/0,9146928859.0,142011115604.0,156666441647.0,17388254336.0,,139991133992.0,123146530093.0,107116635813.0,300000000000.0,300000000000.0,4.33
12,2018/1/0/0,4641828460.0,140591726144.0,149531677971.0,12537590804.0,100000000.0,175991563254.0,106082816174.0,116149043716.0,300000000000.0,300000000000.0,5.19
13,2017/4/0/0,4188662877.0,84615648456.0,93533238799.0,26876422480.0,,82398955234.0,104452572954.0,39890416517.0,300000000000.0,300000000000.0,4.75
14,2017/3/0/0,22294922214.0,368379534337.0,401114581712.0,43631769707.0,,152480338454.0,89579124530.0,48494217163.0,300000000000.0,300000000000.0,6.5
15,2017/2/0/0,8456778716.0,118401945212.0,131126966265.0,22806586056.0,,138446868482.0,83163759345.0,47222467267.0,300000000000.0,300000000000.0,12.95
16,2017/1/0/0,10558362560.0,152873392196.0,166242053248.0,13478655748.0,,227233468543.0,69502959629.0,76852091176.0,300000000000.0,300000000000.0,
17,2016/4/0/0,,,,,,,,,,,
18,2016/3/0/0,,,,,,,,,,,
19,2016/2/0/0,,,,,,,,,,,
20,2016/1/0/0,0.0,,,,,,,,,,
21,2015/4/0/0,0.0,,,,,,,,,,
22,2015/3/0/0,,,,,,,,,,,
23,2015/2/0/0,0.0,,,,,,,,,,
24,2015/1/0/0,,,,,,,,,,,
25,2014/4/0/0,,,,,,,,,0.0,,
26,2014/3/0/0,,,,,,,,,0.0,,
27,2014/2/0/0,,,,,,,,,0.0,,
28,2014/1/0/0,,,,,,,,,0.0,,
29,2013/4/0/0,,,,,,,,,0.0,,
30,2013/3/0/0,,,,,,,,,0.0,,
31,2013/2/0/0,,,,,,,,,0.0,,
32,2013/1/0/0,,,,,,,,,0.0,,
33,2012/4/0/0,,,,,,,,,0.0,,
34,2012/3/0/0,,,,,,,,,0.0,,
35,2012/2/0/0,,,,,,,,,0.0,,
36,2012/1/0/0,,,,,,,,,0.0,,
37,2011/4/0/0,0.0,,,,,,,,0.0,,
38,2011/3/0/0,0.0,,,,,,,,0.0,,
39,2011/2/0/0,,,,,,,,,0.0,,
40,2011/1/0/0,0.0,,,,,,,,0.0,,
41,2010/4/0/0,,,,,,,,,0.0,,
42,2010/3/0/0,,,,,,,,,0.0,,
43,2010/2/0/0,,,,,,,,,0.0,,
44,2010/1/0/0,,,,,,,,,0.0,,
45,2009/4/0/0,,,,,,,,,0.0,,
46,2009/3/0/0,,,,,,,,,0.0,,
47,2009/2/0/0,0.0,,,,,,,,0.0,,
48,2009/1/0/0,0.0,,,,,,,,0.0,,
49,2008/4/0/0,0.0,,,,,,,,0.0,,
50,2008/3/0/0,0.0,,,,,,,,0.0,,
51,2008/2/0/0,,,,,,,,,0.0,,
52,2008/1/0/0,,,,,,,,,0.0,,
