Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,29700234684.0,327749470332.0,386166381821.0,135881391882.0,307000000000.0,226361162885.0,292232501275.0,866117303314.0,210000000000.0,210000000000.0,27.0
1,2020/4/0/0,19016732986.0,353200645255.0,408625979268.0,224145897135.0,245000000000.0,292026691559.0,244273759595.0,954612397983.0,210000000000.0,210000000000.0,22.8
2,2020/3/0/0,16881992764.0,427219800960.0,481979255510.0,198953556566.0,239000000000.0,367193614122.0,278790567495.0,1068550912408.0,210000000000.0,210000000000.0,20.8
3,2020/2/0/0,21361042926.0,424482327049.0,475437111224.0,157044596092.0,91649589041.0,283457427471.0,363257800387.0,911190532933.0,210000000000.0,210000000000.0,19.3
4,2020/1/0/0,18170626114.0,439615116664.0,490830000790.0,161641074945.0,94500000000.0,315214705481.0,277704714897.0,836336732664.0,210000000000.0,210000000000.0,19.25
5,2019/4/0/0,15905239981.0,509204162042.0,553190035539.0,153802573073.0,54500000000.0,364638459094.0,379703631134.0,965993275981.0,210000000000.0,210000000000.0,23.0
6,2019/3/0/0,19073626597.0,501224418887.0,557263729817.0,184505324754.0,30500000000.0,327484325226.0,366011921209.0,948325977291.0,210000000000.0,210000000000.0,21.7
7,2019/2/0/0,34824492520.0,491334780821.0,558195086983.0,149454481637.0,115000000000.0,344155828695.0,427386568414.0,1102657162497.0,210000000000.0,,22.5
8,2019/1/0/0,19983014495.0,437055865272.0,489024930817.0,120571374094.0,121083670685.0,246004983885.0,409377785249.0,785853179656.0,210000000000.0,210000000000.0,34.35
9,2018/4/0/0,16100395004.0,473795660678.0,531250489053.0,91189734569.0,16049150685.0,375721455097.0,407346222184.0,775269154938.0,210000000000.0,210000000000.0,25.5
10,2018/3/0/0,29692189850.0,516176136595.0,591435210997.0,195813951242.0,22000000000.0,441321653493.0,349711707920.0,923948150107.0,210000000000.0,210000000000.0,22.7
11,2018/2/0/0,29723577819.0,532640494977.0,603177959673.0,192215287270.0,,386870802988.0,318232694681.0,890779827238.0,210000000000.0,210000000000.0,19.95
12,2018/1/0/0,25744925538.0,566353351869.0,631219451908.0,196191837827.0,,360367803946.0,329191866671.0,793526785688.0,210000000000.0,210000000000.0,20.3
13,2017/4/0/0,21785522216.0,462757289751.0,523448193317.0,70632829414.0,,360753967916.0,383980623240.0,748104332732.0,210000000000.0,210000000000.0,20.4
14,2017/3/0/0,20236570300.0,635336114074.0,701585122071.0,154146988217.0,,426553913504.0,311521243731.0,844464745042.0,210000000000.0,210000000000.0,20.9
15,2017/2/0/0,24164628539.0,587191398787.0,663886195912.0,118431452701.0,,416179817683.0,447966983959.0,963244864697.0,210000000000.0,210000000000.0,26.7
16,2017/1/0/0,24576422669.0,566291287497.0,641602376969.0,163674957230.0,,310993022599.0,381195040628.0,826408238099.0,210000000000.0,210000000000.0,
17,2016/4/0/0,,,,,,,,,,,
18,2016/3/0/0,,,,,,,,,,,
19,2016/2/0/0,,,,,,,,,,,
20,2016/1/0/0,,,,,,,,,,,
21,2015/4/0/0,,,,,,,,,,,
22,2015/3/0/0,,,,,,,,,,,
23,2015/2/0/0,,,,,,,,,,,
24,2015/1/0/0,,,,,,,,,,,
25,2014/4/0/0,,,,,,,,,0.0,,
26,2014/3/0/0,,,,,,,,,0.0,,
27,2014/2/0/0,,,,,,,,,0.0,,
28,2014/1/0/0,,,,,,,,,0.0,,
29,2013/4/0/0,,,,,,,,,0.0,,
30,2013/3/0/0,,,,,,,,,0.0,,
31,2013/2/0/0,,,,,,,,,0.0,,
32,2013/1/0/0,,,,,,,,,0.0,,
33,2012/4/0/0,,,,,,,,,0.0,,
34,2012/3/0/0,,,,,,,,,0.0,,
35,2012/2/0/0,,,,,,,,,0.0,,
36,2012/1/0/0,,,,,,,,,0.0,,
37,2011/4/0/0,,,,,,,,,0.0,,
38,2011/3/0/0,,,,,,,,,0.0,,
39,2011/2/0/0,,,,,,,,,0.0,,
40,2011/1/0/0,,,,,,,,,0.0,,
41,2010/4/0/0,,,,,,,,,0.0,,
42,2010/3/0/0,,,,,,,,,0.0,,
43,2010/2/0/0,,,,,,,,,0.0,,
44,2010/1/0/0,,,,,,,,,0.0,,
45,2009/4/0/0,,,,,,,,,0.0,,
46,2009/3/0/0,,,,,,,,,0.0,,
47,2009/2/0/0,,,,,,,,,0.0,,
48,2009/1/0/0,,,,,,,,,0.0,,
49,2008/4/0/0,,,,,,,,,0.0,,
50,2008/3/0/0,,,,,,,,,0.0,,
51,2008/2/0/0,,,,,,,,,0.0,,
52,2008/1/0/0,,,,,,,,,0.0,,
