Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,102504957548.0,1081895730162.0,1403404376082.0,179550636005.0,144175634275.0,926755867464.0,1568684765319.0,2694056383245.0,485994410000.0,485994410000.0
1,2020/4/0/0,123319416986.0,1275049214743.0,1594132146364.0,167742696261.0,112603038334.0,763183154480.0,1499350833329.0,2368238469216.0,485994410000.0,485994410000.0
2,2020/3/0/0,106352664186.0,1138779667438.0,1447784309500.0,170385405986.0,50450000000.0,700682208144.0,1326143417954.0,2318526704468.0,485994410000.0,485994410000.0
3,2020/2/0/0,88419290864.0,1061340626850.0,1348826299019.0,117433230927.0,50450000000.0,721350173426.0,1236523145926.0,2128597049777.0,485994410000.0,485994410000.0
4,2020/1/0/0,64014759808.0,979067625442.0,1213631580059.0,90079750062.0,50450000000.0,691853456123.0,1366053576914.0,2050213045087.0,485994410000.0,485994410000.0
5,2019/4/0/0,140492209735.0,1351308706220.0,1669690530092.0,126518814647.0,50450000000.0,740047814027.0,1321225306948.0,2114151752763.0,485994410000.0,485994410000.0
6,2019/3/0/0,119756386372.0,1051288276287.0,1306011465314.0,73254208782.0,50450000000.0,700817392184.0,1263302229041.0,1945505345417.0,485994410000.0,485994410000.0
7,2019/2/0/0,109954708663.0,1110295466238.0,1360337230677.0,101619630758.0,50450000000.0,770751810847.0,1042015662145.0,1872142143062.0,485994410000.0,485994410000.0
8,2019/1/0/0,86595277011.0,1008284156001.0,1215536662804.0,107610687939.0,157549278166.0,855274758342.0,1018485580895.0,1827459076741.0,485994410000.0,485994410000.0
9,2018/4/0/0,134782195178.0,1299590114999.0,1560741697418.0,67039272068.0,157549278166.0,736702026925.0,976343509888.0,1652734691504.0,485994410000.0,485994410000.0
10,2018/3/0/0,93580561340.0,1018431437226.0,1219598002433.0,67762506085.0,175963796287.0,637990178490.0,900571616341.0,1557691746477.0,485994410000.0,485994410000.0
11,2018/2/0/0,95160647980.0,775492638166.0,981848830395.0,138297212295.0,177811796287.0,564855325547.0,772693837345.0,1427785589554.0,485994410000.0,485994410000.0
12,2018/1/0/0,75397905940.0,800101470647.0,973884043679.0,55368589866.0,46298438162.0,551971697397.0,691217304100.0,1336956104614.0,259201940000.0,259201940000.0
13,2017/4/0/0,130648483506.0,844075875202.0,1071233317252.0,54714762477.0,49308438162.0,522144220985.0,718888810170.0,1385757189623.0,259201940000.0,259201940000.0
14,2017/3/0/0,80825884488.0,794393746703.0,958891414190.0,42140360197.0,45188315480.0,519721426112.0,679558012267.0,1200762856403.0,259201940000.0,259201940000.0
15,2017/2/0/0,87829110751.0,856496306486.0,1020315506260.0,58677900539.0,45188315480.0,512414798821.0,540297026660.0,1065361841524.0,259201940000.0,259201940000.0
16,2017/1/0/0,60447260481.0,781706741743.0,922996410636.0,53777927244.0,43763549000.0,485671452906.0,508533234510.0,1048988935364.0,216005310000.0,216005310000.0
17,2016/4/0/0,93177921918.0,915955097631.0,1097100773159.0,33769815934.0,43763549000.0,451192027009.0,530911536381.0,993382903897.0,216005310000.0,216005310001.0
18,2016/3/0/0,70670873914.0,660289330461.0,806528634966.0,68665539312.0,43332000000.0,352634738596.0,541502059139.0,954558377708.0,216005310000.0,216005310000.0
19,2016/2/0/0,53607751509.0,816853715907.0,949542880522.0,70495115670.0,30632000000.0,412916300984.0,483131245164.0,932348637745.0,180006160000.0,180006160000.0
20,2016/1/0/0,57216020554.0,679970309933.0,806306724026.0,56288938305.0,30450000000.0,423006578640.0,381883253817.0,784450639992.0,151206640000.0,151206640000.0
21,2015/4/0/0,62319275131.0,740974536569.0,881355004310.0,152102735723.0,25450000000.0,237069292357.0,366693849435.0,709876188359.0,144006340000.0,144006340000.0
22,2015/3/0/0,46999017020.0,649468705607.0,761121261993.0,104532984587.0,45450000000.0,240125295957.0,350615161104.0,708731639610.0,144006340000.0,144006340000.0
23,2015/2/0/0,42077749625.0,633917874726.0,743551520513.0,64071153215.0,55650000000.0,273688905985.0,391001629245.0,728085997025.0,,144006340000.0
24,2015/1/0/0,31851822298.0,570016813787.0,659722251779.0,69528348367.0,450000000.0,308500058242.0,347867673810.0,665323527899.0,,120006460000.0
25,2014/4/0/0,29375910627.0,682616575176.0,773602997376.0,127498086494.0,873798100.0,275000383878.0,324834746447.0,697174156227.0,0.0,120006460000.0
26,2014/3/0/0,28628565126.0,535609023391.0,608097127418.0,94776709048.0,2456025800.0,228572923204.0,339487809620.0,627040852111.0,0.0,120006460000.0
27,2014/2/0/0,34631594916.0,428951587967.0,513498040500.0,61126263506.0,3795654200.0,186380633097.0,326285514752.0,565803130973.0,0.0,120006460000.0
28,2014/1/0/0,28578519365.0,483622778423.0,558804668967.0,45537197301.0,3926378100.0,202627092915.0,267681112675.0,523594506521.0,0.0,120006460000.0
29,2013/4/0/0,28050849222.0,571225229092.0,651020424817.0,100572076603.0,3439246900.0,192158345817.0,316698078065.0,594695627762.0,0.0,120000400000.0
30,2013/3/0/0,25157252977.0,403551304516.0,466419142736.0,38413533561.0,3453858600.0,189428436327.0,249259125933.0,440580422396.0,0.0,120006460000.0
